,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url
18,맛생맛사,한식,한식/백반/한정식,한식 음식점업,명동,37.56698417,126.98849,맛생맛사 한식 한식 백반 한정식 한식 음식점업,명동%20맛생맛사,https://m.place.naver.com/restaurant/33705879
277,한우방,한식,갈비/삼겹살,한식 음식점업,명동,37.56537708,126.983916,한우방 한식 갈비 삼겹살 한식 음식점업,명동%20한우방,https://m.place.naver.com/restaurant/1788142722
533,고려보쌈,한식,족발/보쌈전문,한식 음식점업,명동,37.56714323,126.9787076,고려보쌈 한식 족발 보쌈전문 한식 음식점업,명동%20고려보쌈,https://m.place.naver.com/restaurant/38010908
1232,명동정한정식,한식,한식/백반/한정식,한식 음식점업,명동,37.56155955,126.9884501,명동정한정식 한식 한식 백반 한정식 한식 음식점업,명동%20명동정한정식,https://m.place.naver.com/restaurant/36868623
1573,쯔루하시후게츠,일식/수산물,음식점-일식,일식 음식점업,명동,37.56282757,126.9850146,쯔루하시후게츠 일식 수산물 음식점-일식 일식 음식점업,명동%20쯔루하시후게츠,https://m.place.naver.com/restaurant/21037913
1716,림돈까스,양식,돈가스전문점,서양식 음식점업,명동,37.55672764,126.9850295,림돈까스 양식 돈가스전문점 서양식 음식점업,명동%20림돈까스,https://m.place.naver.com/restaurant/20397696
1846,KFC,닭/오리요리,후라이드/양념치킨,치킨 전문점,명동,37.5688163,126.9762963,KFC 닭 오리요리 후라이드 양념치킨 치킨 전문점,명동%20KFC,https://m.place.naver.com/restaurant/11808181
1904,리틀파파포,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,명동,37.56686688,126.9832279,리틀파파포 별식 퓨전요리 동남아음식전문점 기타 외국식 음식점업,명동%20리틀파파포,https://m.place.naver.com/restaurant/1750372339
2054,블루노트커피,한식,한식/백반/한정식,한식 음식점업,명동,37.56610742,126.983974,블루노트커피 한식 한식 백반 한정식 한식 음식점업,명동%20블루노트커피,https://m.place.naver.com/restaurant/1413027174
2196,만게츠,유흥주점,기타일반유흥주점,일반유흥 주점업,명동,37.56449988,126.9866899,만게츠 유흥주점 기타일반유흥주점 일반유흥 주점업,명동%20만게츠,https://m.place.naver.com/restaurant/275788726
2227,오군순두부,한식,순두부전문,한식 음식점업,명동,37.56769837,126.9803867,오군순두부 한식 순두부전문 한식 음식점업,명동%20오군순두부,https://m.place.naver.com/restaurant/20888940
2245,한시락,한식,한식/백반/한정식,한식 음식점업,명동,37.56735336,126.9811272,한시락 한식 한식 백반 한정식 한식 음식점업,명동%20한시락,https://m.place.naver.com/restaurant/36561542
2546,카페,한식,한식/백반/한정식,한식 음식점업,명동,37.56199326,126.9885914,카페 한식 한식 백반 한정식 한식 음식점업,명동%20카페,https://m.place.naver.com/restaurant/1194974888
2776,스타벅스을지로입구,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56720013,126.9832121,스타벅스을지로입구 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스을지로입구,https://m.place.naver.com/restaurant/20669049
3400,명동칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,명동,37.55848508,126.9861262,명동칼국수 분식 국수 만두 칼국수 분식 및 김밥 전문점,명동%20명동칼국수,https://m.place.naver.com/restaurant/11592650
3431,칠칠복집,일식/수산물,복전문,한식 음식점업,명동,37.56735502,126.9813196,칠칠복집 일식 수산물 복전문 한식 음식점업,명동%20칠칠복집,https://m.place.naver.com/restaurant/19484724
3655,커피리브레,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56366249,126.9867578,커피리브레 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피리브레,https://m.place.naver.com/restaurant/37039367
3698,크리에이트,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56738787,126.9851339,크리에이트 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20크리에이트,https://m.place.naver.com/restaurant/32587722
4163,깡장집,한식,한식/백반/한정식,한식 음식점업,명동,37.56647389,126.9794525,깡장집 한식 한식 백반 한정식 한식 음식점업,명동%20깡장집,https://m.place.naver.com/restaurant/11680209
4227,서울고기집,한식,갈비/삼겹살,한식 음식점업,명동,37.56685391,126.9817226,서울고기집 한식 갈비 삼겹살 한식 음식점업,명동%20서울고기집,https://m.place.naver.com/restaurant/36224909
5065,쉐프가만든떡볶이,제과제빵떡케익,떡/한과집,제과점업,명동,37.56563848,126.9881233,쉐프가만든떡볶이 제과제빵떡케익 떡 한과집 제과점업,명동%20쉐프가만든떡볶이,https://m.place.naver.com/restaurant/1181083953
5702,설빙,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56293792,126.9852735,설빙 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20설빙,https://m.place.naver.com/restaurant/1621273819
