,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,star_point,blog_review_qty,blog_review_text
18,맛생맛사,한식,한식/백반/한정식,한식 음식점업,명동,37.56698417,126.98849,맛생맛사 한식 한식 백반 한정식 한식 음식점업,명동%20맛생맛사,https://m.place.naver.com/restaurant/33705879,null,null,null
277,한우방,한식,갈비/삼겹살,한식 음식점업,명동,37.56537708,126.983916,한우방 한식 갈비 삼겹살 한식 음식점업,명동%20한우방,https://m.place.naver.com/restaurant/1788142722,4.34,9,[]
533,고려보쌈,한식,족발/보쌈전문,한식 음식점업,명동,37.56714323,126.9787076,고려보쌈 한식 족발 보쌈전문 한식 음식점업,명동%20고려보쌈,https://m.place.naver.com/restaurant/38010908,4.54,8,"[<span class=""WoYOw"">명동에서 14년째 최고급 한우를 합리적인 가격에 판매하는 한우전문점입니다.</span>]"
1232,명동정한정식,한식,한식/백반/한정식,한식 음식점업,명동,37.56155955,126.9884501,명동정한정식 한식 한식 백반 한정식 한식 음식점업,명동%20명동정한정식,https://m.place.naver.com/restaurant/36868623,4.4,98,[]
1573,쯔루하시후게츠,일식/수산물,음식점-일식,일식 음식점업,명동,37.56282757,126.9850146,쯔루하시후게츠 일식 수산물 음식점-일식 일식 음식점업,명동%20쯔루하시후게츠,https://m.place.naver.com/restaurant/21037913,4.44,221,"[<span class=""WoYOw"">명동역 10번출구 50m,전통인테리어 14개 개별실,대형 연회실,상견례, 돌잔치,외국인 접대,넓은 주차장,회식,모임, www.hanjeongsik.co.kr</span>]"
1716,림돈까스,양식,돈가스전문점,서양식 음식점업,명동,37.55672764,126.9850295,림돈까스 양식 돈가스전문점 서양식 음식점업,명동%20림돈까스,https://m.place.naver.com/restaurant/20397696,4.49,"1,345","[<span class=""WoYOw"">오사카에서 시작해 일본 전국에 현재 100여 개의 매장이 운영되고 있는 오코노미야키 전문점 츠루하시 후게츠의 분점입니다. 일본인 직원들이 테이블에 설치된 철판에서 직접 요리하면서 현지 분위기를 살리는 것이 특징인데요, 돼지고기, 새우, 오징어 등 취향에 맞게 오코노미야키 재료를 골라서 먹을 수 있지요.</span>]"
1846,KFC,닭/오리요리,후라이드/양념치킨,치킨 전문점,명동,37.5688163,126.9762963,KFC 닭 오리요리 후라이드 양념치킨 치킨 전문점,명동%20KFC,https://m.place.naver.com/restaurant/11808181,3.58,159,[]
1904,리틀파파포,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,명동,37.56686688,126.9832279,리틀파파포 별식 퓨전요리 동남아음식전문점 기타 외국식 음식점업,명동%20리틀파파포,https://m.place.naver.com/restaurant/1750372339,4.31,66,[]
2054,블루노트커피,한식,한식/백반/한정식,한식 음식점업,명동,37.56610742,126.983974,블루노트커피 한식 한식 백반 한정식 한식 음식점업,명동%20블루노트커피,https://m.place.naver.com/restaurant/1413027174,4.19,64,"[<span class=""WoYOw"">2012년 합정동에 작은 매장을 시작 할 때의 초심을 잊지않고, 손님여러분께 맛있고 올바른 음식을 제공해드리기 위해 최선을 다 하겠습니다.</span>]"
2196,만게츠,유흥주점,기타일반유흥주점,일반유흥 주점업,명동,37.56449988,126.9866899,만게츠 유흥주점 기타일반유흥주점 일반유흥 주점업,명동%20만게츠,https://m.place.naver.com/restaurant/275788726,4.68,26,"[<span class=""WoYOw"">BLUE NOTE is 7음계의 3음 E 와 7음 B 를 반음 낮춰 연주하는 대표적인 Jazz/blues scale 블루노트 커피는 복잡하고 건조한 일상 속에서 잠시나마 플랫의 여유를 느끼시길 바라는 마음으로 하루를 준비합니다
 맛있는 스페셜티 커피를 합리적인 가격으로 제공합니다 항상 최선을 다하겠습니다</span>]"
2227,오군순두부,한식,순두부전문,한식 음식점업,명동,37.56769837,126.9803867,오군순두부 한식 순두부전문 한식 음식점업,명동%20오군순두부,https://m.place.naver.com/restaurant/20888940,4.34,19,"[<span class=""WoYOw"">주차는 근처 공영주차장 이용</span>]"
2245,한시락,한식,한식/백반/한정식,한식 음식점업,명동,37.56735336,126.9811272,한시락 한식 한식 백반 한정식 한식 음식점업,명동%20한시락,https://m.place.naver.com/restaurant/36561542,4.49,114,[]
2546,카페,한식,한식/백반/한정식,한식 음식점업,명동,37.56199326,126.9885914,카페 한식 한식 백반 한정식 한식 음식점업,명동%20카페,https://m.place.naver.com/restaurant/1194974888,4.47,17,[]
2776,스타벅스을지로입구,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56720013,126.9832121,스타벅스을지로입구 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스을지로입구,https://m.place.naver.com/restaurant/20669049,4.44,410,"[<span class=""WoYOw"">송리단길, 신논현, 삼청에 이은 가배도의 네번째 공간입니다. 아름답게 조성된 화단을 따라 들어오시면 서울에서 가장 번화한 거리 가운데  조용하고 아름다운 커피섬이 있습니다. 가배도의 유명한 티라미수와 말차, 맛있는 커피를 명동에서도 즐기세요.</span>]"
3400,명동칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,명동,37.55848508,126.9861262,명동칼국수 분식 국수 만두 칼국수 분식 및 김밥 전문점,명동%20명동칼국수,https://m.place.naver.com/restaurant/11592650,4.5,70,"[<span class=""WoYOw"">주차불가</span>]"
3431,칠칠복집,일식/수산물,복전문,한식 음식점업,명동,37.56735502,126.9813196,칠칠복집 일식 수산물 복전문 한식 음식점업,명동%20칠칠복집,https://m.place.naver.com/restaurant/19484724,4.42,"9,110","[<span class=""WoYOw"">1966년 창업이후 명동에서 본점과 분점, 이태원에 직영점을 운영하고 있는 칼국수 전문 음식점입니다.
명동교자는 창업 이래 '음식의 맛은 정성이 과학을 앞선다.'는 신념을 지키기 위하여 가격에 상관없이 최고의 음식 재료, 신선한 음식재료만을 매일매일 구입하여 사용하고 있으며 남은 음식은 100% 완전히 폐기합니다.
칼국수, 만두, 비빔국수, 콩국수를 드실 수 있으시고, 만두만 포장가능합니다.</span>]"
3655,커피리브레,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56366249,126.9867578,커피리브레 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피리브레,https://m.place.naver.com/restaurant/37039367,4.29,78,"[<span class=""WoYOw"">30여년의 전통의 복어 요리 전문점으로 2007년 무교동 먹자 골목에서 현재의 위치로 이전</span>]"
3698,크리에이트,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56738787,126.9851339,크리에이트 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20크리에이트,https://m.place.naver.com/restaurant/32587722,4.51,124,[]
4163,깡장집,한식,한식/백반/한정식,한식 음식점업,명동,37.56647389,126.9794525,깡장집 한식 한식 백반 한정식 한식 음식점업,명동%20깡장집,https://m.place.naver.com/restaurant/11680209,4.29,18,"[<span class=""WoYOw"">미래에셋 센터원 지하 1층에 위치한 크리에이트 카페입니다 모던한 인테리어가 돋보이며 다양한 음료와 샌드위치, 계절 별 신선한 과일 주스와 비건 베이커리를 맛볼 수 있으며 카페 내부가 넓어 쾌적한 느낌을 줍니다. 모임이나 회의하기에 적합한 카페이며 크리에
이트만의 시그니처 음료를 접할 수 있습니다. 고객의 다양한 취향을 고려하여 메뉴 구성의 폭이 넓습니다.</span>]"
4227,서울고기집,한식,갈비/삼겹살,한식 음식점업,명동,37.56685391,126.9817226,서울고기집 한식 갈비 삼겹살 한식 음식점업,명동%20서울고기집,https://m.place.naver.com/restaurant/36224909,4.15,94,[]
5065,쉐프가만든떡볶이,제과제빵떡케익,떡/한과집,제과점업,명동,37.56563848,126.9881233,쉐프가만든떡볶이 제과제빵떡케익 떡 한과집 제과점업,명동%20쉐프가만든떡볶이,https://m.place.naver.com/restaurant/1181083953,4.37,178,"[<span class=""WoYOw"">제주도 돼지를 맛있게 구워드립니다.
저희가 권해드리는 방법으로 드셔보세요.
정말 맛있습니다.</span>]"
5702,설빙,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56293792,126.9852735,설빙 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20설빙,https://m.place.naver.com/restaurant/1621273819,4.42,30,[]
5727,은&정명동닭갈비,한식,한식/백반/한정식,한식 음식점업,명동,37.56464966,126.9841976,은&정명동닭갈비 한식 한식 백반 한정식 한식 음식점업,명동%20은&정명동닭갈비,https://m.place.naver.com/restaurant/38582020,null,null,null
